id	name	sido	gu	addr	x	y	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	class_2023	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022	student_2023
S150003655	포항제철지곡초등학교	경북	포항시	경상북도 포항시 남구 지곡로 295	129.3203041	36.0295648	36	35	34	34	35	36	35	34	34	37	38	41	43	44	46	46	1199	1135	1055	1036	1067	1064	962	916	910	1037	1088	1187	1276	1344	1377	1359
S150003653	포항제철초등학교	경북	포항시	경상북도 포항시 남구 지곡로 60	129.3278289	36.0128005	0	0	0	0	0	0	0	0	0	0	34	33	31	29	34	34	0	0	0	0	0	0	0	0	0	0	892	913	854	868	926	928
S150003656	포항중앙초등학교	경북	포항시	경상북도 포항시 북구 우창동로 73	129.3656263	36.0587853	10	9	9	8	7	7	7	7	7	25	32	33	34	35	40	40	243	195	168	136	107	81	80	74	72	709	855	885	930	936	1088	1063
S150003657	포항초등학교	경북	포항시	경상북도 포항시 북구 서동로47번길 23	129.3637872	36.0431138	28	25	23	20	18	15	15	14	15	14	14	14	13	13	12	12	865	720	611	536	449	380	338	302	284	268	254	264	249	245	227	235
S150003658	포항항도초등학교	경북	포항시	경상북도 포항시 북구 항도길 13	129.3687614	36.0518544	32	31	32	30	27	24	25	23	22	14	10	8	8	10	9	9	1089	979	911	830	740	667	644	590	573	266	201	184	174	185	177	170
S150006259	포항해맞이초등학교	경북	포항시	경상북도 포항시 북구 환호로 37	129.3909413	36.071821	24	26	26	27	26	27	27	28	29	28	28	26	25	24	25	23	743	760	762	766	750	746	720	742	712	718	712	684	650	607	589	563
S150006322	학천초등학교	경북	포항시	경상북도 포항시 북구 흥해읍 도음로856번길 17	129.3275237	36.0766789	0	0	17	20	21	24	25	27	27	28	29	27	28	27	26	21	0	0	444	494	519	552	592	620	631	691	712	670	666	626	596	518
S150003659	항구초등학교	경북	포항시	경상북도 포항시 북구 삼호로468번길 5-12	129.4002579	36.0707857	12	18	9	8	8	7	7	7	7	7	7	7	7	7	8	8	259	512	203	180	142	127	136	129	120	109	104	100	101	90	90	86
S150003661	효자초등학교	경북	포항시	경상북도 포항시 남구 효성로 30	129.3371327	36.0061528	14	19	23	25	26	27	29	29	30	32	36	38	40	42	45	45	399	589	673	712	714	758	802	817	844	929	975	1063	1133	1184	1234	1233
S150003662	흥해남산초등학교	경북	포항시	경상북도 포항시 북구 흥해읍 남미질로 26	129.3455687	36.1043879	27	24	22	24	21	20	18	16	15	15	13	13	12	13	13	12	815	711	593	544	468	411	365	318	304	305	273	246	223	217	214	190
