addr	serial	name	sido_	gu	sido
전라북도 군산시 옥구읍 옥구로 50	S130000622	옥구초등학교	전라북도	군산시	전북
서울특별시 강서구 강서로56나길 34	S010001017	서울등명초등학교	서울특별시	강서구	서울
제주특별자치도 제주시 한림읍 금악남2길 1	S170000180	금악초등학교	제주특별자치도	제주시	제주
충청북도 증평군 증평읍 남하길 233	S110000338	죽리초등학교	충청북도	증평군	충북
전라남도 나주시 영강길 14	S140000733	영강초등학교	전라남도	나주시	전남
충청남도 당진시 석문면 다리들길 7	S120000903	석문초등학교	충청남도	당진시	충남
경상남도 함양군 안의면 안의초등길 8	S160002884	안의초등학교	경상남도	함양군	경남
경상북도 봉화군 봉화읍 내성로7길 3	S150001949	봉화초등학교	경상북도	봉화군	경북
제주특별자치도 제주시 애월읍 일주서로 6000	S170000175	곽금초등학교	제주특별자치도	제주시	제주
경상북도 포항시 남구 송도로 80	S150003651	포항송도초등학교	경상북도	포항시	경북
경기도 고양시 일산동구 문봉길 110	S090001005	성석초등학교	경기도	고양시	경기
