id	name	addr	x	y	type
S010001203	서울고척초등학교	서울특별시 구로구 경서로 31	126.8569976	37.5010419	유지
S010001204	서울구로남초등학교	서울특별시 구로구 디지털로27길 76	126.8905483	37.4850266	유지
S010001205	서울구로초등학교	서울특별시 구로구 구로중앙로27나길 9	126.8858699	37.4972513	유지
S010001206	서울구일초등학교	서울특별시 구로구 구일로 68	126.8733087	37.493085	유지
S010001207	서울금산초등학교	서울특별시 금천구 시흥대로24길 57	126.9081818	37.4415927	유지
S010001208	서울금천초등학교	서울특별시 금천구 탑골로5길 60	126.9127445	37.4546934	유지
S010001209	서울당산초등학교	서울특별시 영등포구 선유로55길 32	126.8963215	37.5396641	유지
S010001210	서울당서초등학교	서울특별시 영등포구 당산로 187	126.8996044	37.5318719	유지
S010001211	서울당중초등학교	서울특별시 영등포구 선유로 131	126.8899937	37.5265223	유지
S010001212	서울대길초등학교	서울특별시 영등포구 대방천로 206	126.913012	37.498085	유지
S010001213	서울대동초등학교	서울특별시 영등포구 대림로21길 6	126.9004869	37.4935889	유지
S010001214	서울대방초등학교	서울특별시 영등포구 여의대방로35길 14	126.9194714	37.5024003	유지
S010001215	서울대영초등학교	서울특별시 영등포구 신길로23길 43	126.9062	37.502758	유지
S010001216	서울덕의초등학교	서울특별시 구로구 고척로 213	126.8568224	37.5063662	유지
S010001217	서울도림초등학교	서울특별시 영등포구 가마산로65길 22	126.9064926	37.5080418	유지
S010001218	서울도신초등학교	서울특별시 영등포구 도림로53길 32-9	126.9011184	37.4988263	유지
S010001219	서울독산초등학교	서울특별시 금천구 시흥대로104길 31	126.9004443	37.4655892	유지
S010001220	서울동구로초등학교	서울특별시 구로구 구로중앙로14길 43	126.8923318	37.4952683	유지
S010001221	서울두산초등학교	서울특별시 금천구 범안로11길 3	126.8906327	37.4674221	유지
S010001222	서울매봉초등학교	서울특별시 구로구 고척로21길 55	126.8444918	37.5044872	유지
