sido	gu	name	class_2008	class_2009	class_2010	class_2011	class_2012	class_2013	class_2014	class_2015	class_2016	class_2017	class_2018	class_2019	class_2020	class_2021	class_2022	student_2008	student_2009	student_2010	student_2011	student_2012	student_2013	student_2014	student_2015	student_2016	student_2017	student_2018	student_2019	student_2020	student_2021	student_2022
서울	성북구	서울월곡초등학교	43	42	39	36	36	31	31	29	26	26	25	25	23	22	21	1240	1167	1013	879	740	662	634	581	542	533	507	456	421	419	387
서울	성북구	서울일신초등학교	25	26	27	30	32	33	33	33	33	33	33	33	33	35	35	784	761	715	842	863	844	844	859	848	844	844	831	831	810	788
서울	성북구	서울장곡초등학교	43	40	38	37	34	29	29	26	24	23	22	22	23	28	37	1272	1145	1051	920	776	683	636	580	519	478	472	469	486	714	815
서울	성북구	서울장월초등학교	21	22	27	27	27	27	27	26	22	19	21	21	24	26	29	623	757	796	786	768	722	644	545	461	410	427	435	550	587	646
서울	성북구	서울장위초등학교	47	47	47	47	47	44	43	39	38	38	37	33	30	27	25	1453	1361	1285	1217	1157	1054	998	932	872	816	760	659	558	509	473
서울	성북구	서울정덕초등학교	41	42	44	44	44	44	44	44	45	45	46	47	47	46	46	1165	1156	1195	1195	1149	1099	1138	1146	1152	1164	1162	1167	1101	1063	1009
서울	성북구	서울정릉초등학교	37	43	44	44	43	43	43	43	43	38	38	36	35	34	33	1250	1246	1251	1209	1141	1083	1032	1010	938	896	880	827	783	728	688
서울	성북구	서울정수초등학교	19	19	19	18	18	17	16	19	18	17	16	16	16	16	15	446	422	423	393	371	329	344	340	310	314	306	291	240	233	242
서울	성북구	서울청덕초등학교	37	35	34	31	30	28	27	24	22	21	21	21	20	19	19	1024	938	857	775	720	623	590	533	506	467	462	454	402	376	358
서울	성북구	성신초등학교	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	565	569	584	564	565	542	544	523	490	483	458	445	445	454	472
서울	성북구	우촌초등학교	14	16	17	19	20	22	22	22	21	22	22	21	20	21	21	347	387	426	467	514	557	545	539	552	537	516	519	516	521	544
서울	송파구	서울가동초등학교	47	46	45	45	42	39	40	39	39	39	40	41	40	41	39	1594	1404	1309	1244	1106	1037	1026	983	950	956	987	947	900	895	853
