year	sido	gu	name	addr	x	y
20200401	인천	연수구	인천아암초등학교	인천광역시 연수구 센트럴로 460	126.6297164	37.4139322
20220401	인천	옹진군	대청초등학교소청분교장	인천광역시 옹진군 대청면 소청동로 69-13	124.7509964	37.7737245
20150401	인천	옹진군	영흥초등학교선재분교장	인천광역시 옹진군 영흥면 선재로34번길 197	126.5340323	37.2374622
20080401	인천	옹진군	인천주안남초등학교승봉분교	인천 옹진군 자월면 승봉리712	126.2972972	37.1706364
20220401	인천	옹진군	인천주안남초등학교승봉분교장	인천광역시 옹진군 자월면 승봉로67번길 43-18	126.2968617	37.1705957
20220401	전남	강진군	강진북초등학교	전라남도 강진군 강진읍 지전로안길 83	126.7336714	34.641501
20090401	전남	강진군	강진서초등학교	전남 강진군 강진읍 학명리320-1	126.755265	34.6137795
20090401	전남	고흥군	금산제일초등학교	전남 고흥군 금산면 어전리1240	127.1183525	34.4468047
20220401	전남	고흥군	남양초등학교우도분교장	전라남도 고흥군 남양면 우도길 18	127.314075	34.7222833
20080401	전남	고흥군	대서초등학교안남분교장	전남 고흥군 대서면 안남리625	127.2720147	34.7493329
20120401	전남	고흥군	망주초등학교	전라남도 고흥군 남양면와야길 17	127.3636898	34.7590882
20120401	전남	고흥군	봉래초등학교봉래남분교장	전라남도 고흥군 봉래면 교동길17번지	127.489858	34.451599
20200401	전남	고흥군	점암초등학교신안분교장	전라남도 고흥군 점암면 고흥로 2620-13	127.3411516	34.6575682
20160401	전남	고흥군	점암초등학교화계분교장	전라남도 고흥군 점암면 화전2길 5	127.432818	34.6579613
20140401	전남	광양시	광양남초등학교	전라남도 광양시 광양읍 제철로 59	127.6063313	34.9602561
20170401	전남	광양시	진상초등학교황죽분교장	전라남도 광양시 진상면 신황길 126	127.6879449	35.0529352
20140401	전남	광양시	진월초등학교월길분교장	전라남도 광양시 진월면 대리동백길 5	127.7559282	35.034696
20080401	전남	나주시	금천남초등학교	전남 나주시 금천면 동악리566	126.7691105	35.0073187
20080401	전남	나주시	나주초등학교이화분교장	전남 나주시 토계동318	126.7294582	35.0201241
20100401	전남	나주시	문평남초등학교	전라남도 나주시 문평면옥당리 1119	126.6108878	35.029807
20130401	전남	나주시	산포초등학교덕례분교장	전라남도 나주시 산포면 덕례리	126.7928	35.0543
20090401	전남	나주시	산포초등학교신도분교장	전남 나주시 산포면 신도리181-1	126.8052625	35.0061952
20100401	전남	나주시	세지북초등학교	전라남도 나주시 세지면내정리 6-3	126.7376711	34.9507303
20110401	전남	담양군	남면초등학교인암분교장	전라남도 담양군 남면 인암리238	127.0616424	35.1438206
20130401	전남	담양군	봉산초등학교양지분교장	전라남도 담양군 봉산면 양지리135-1	126.9482704	35.2537523
20220401	전남	목포시	목포서산초등학교충무분교장	전라남도 목포시 고하도길 91	126.3673997	34.7620551
20090401	전남	목포시	목포옥남초등학교	전남 목포시 옥암동240-1	126.452775	34.8179504
20210401	전남	목포시	목포유달초등학교율도분교장	전라남도 목포시 율도길 88	126.3226625	34.8032417
20090401	전남	무안군	몽탄남초등학교	전남 무안군 몽탄면 청용리401	126.5020264	34.8926937
20090401	전남	무안군	몽탄북초등학교	전남 무안군 몽탄면 사창리720	126.5172235	34.9656639
20100401	전남	무안군	일로초등학교죽산분교장	전라남도 무안군 일로읍 죽산리22	126.5102203	34.8160256
20180401	전남	무안군	현경초등학교해운분교장	전라남도 무안군 현경면 해운동길 25	126.4636645	35.0603345
20220401	전남	보성군	벌교초등학교장도분교장	전라남도 보성군 벌교읍 장도길 204-6	127.4553777	34.7912046
20150401	전남	보성군	벌교초등학교제석분교장	전라남도 보성군 벌교읍 장호길 14	127.3644354	34.8471808
20170401	전남	보성군	웅치초등학교	전라남도 보성군 웅치면 일림로 1013	127.0206476	34.7165953
20140401	전남	순천시	낙안초등학교창녕분교장	전라남도 순천시 낙안면 창녕길 7	127.3876392	34.9204464
20090401	전남	순천시	별량초등학교마산분교장	전남 순천시 별량면 마산리243-1	127.4514801	34.8451246
20100401	전남	순천시	별량초등학교송산분교장	전라남도 순천시 별량면 송기리294	127.415229	34.8501394
20100401	전남	순천시	상사초등학교쌍지분교장	전라남도 순천시 상사면 쌍지리250	127.4148152	34.9327179
20090401	전남	순천시	주암초등학교어왕분교장	전남 순천시 주암면 어왕리1	127.2370742	35.0975171
20110401	전남	순천시	해룡초등학교농주분교장	전라남도 순천시 해룡면 농주리12	127.5373972	34.8587878
20110401	전남	순천시	황전북초등학교용림분교장	전남 순천시 황전면 선변리745	127.4580064	35.1593519
20140401	전남	순천시	황전초등학교대치분교장	전라남도 순천시 황전면 삽재팔동길 150	127.467821	35.1274847
20100401	전남	신안군	도초초등학교서리분교장	전라남도 신안군 도초면 우이도리1395번지	125.8703794	34.6107992
20080401	전남	신안군	동도초등학교	전남 신안군 도초면 만년리1314	125.974128	34.7115478
20090401	전남	신안군	비금초등학교비금서분교장	전남 신안군 비금면 죽림리832	125.9131719	34.7391088
20120401	전남	신안군	신의초등학교기도분교장	전라남도 신안군 신의면 기도길6-11	126.0851173	34.6346586
20080401	전남	신안군	신의초등학교신의남분교장	전남 신안군 신의면 하태동리438-4	126.0642504	34.5568328
20170401	전남	신안군	안좌초등학교반월분교장	전라남도 신안군 안좌면 방월길 22-2	126.0882752	34.7551447
20220401	전남	신안군	안좌초등학교자라분교장	전라남도 신안군 안좌면 자라도길 37	126.1700563	34.6883906
20090401	전남	신안군	안창초등학교	전남 신안군 안좌면 대리756	126.1695387	34.7156955
20190401	전남	신안군	암태초등학교당사분교장	전라남도 신안군 암태면 당사도길 73-2	126.178338	34.888432
20220401	전남	신안군	암태초등학교추포분교장	전라남도 신안군 암태면 추엽길 82	126.0673623	34.8073835
20090401	전남	신안군	압해동초등학교가란분교장	전남 신안군 압해면 가란리97	126.3676674	34.8710982
20190401	전남	신안군	압해초등학교고이분교장	전라남도 신안군 압해읍 고이길 20	126.2881907	34.9597353
20080401	전남	신안군	장산초등학교장산동분교장	전남 신안군 장산면 팽진리921	126.1738558	34.6362621
20100401	전남	신안군	증도초등학교기점분교장	전남 신안군 증도면병풍리2구 기점도 796번지	126.2141243	34.9718578
20200401	전남	신안군	증도초등학교병풍도분교장	전라남도 신안군 증도면 병풍1길 54	126.2133858	34.9608095
20220401	전남	신안군	증도초등학교소악분교장	전라남도 신안군 증도면 소악길 87	126.1956639	34.9238833
20120401	전남	신안군	지도초등학교동천분교장	전라남도 신안군 지도읍동천길 176-48	126.2494141	35.048988
20190401	전남	신안군	지도초등학교선치분교장	전라남도 신안군 지도읍 선도길 97-14	126.263775	34.9830263
20190401	전남	신안군	지도초등학교어의분교장	전라남도 신안군 지도읍 어의길 17-2	126.1869004	35.13318
20120401	전남	신안군	하의초등학교장병분교장	전라남도 신안군 하의면장병도길 70	126.0459615	34.6518062
20220401	전남	신안군	흑산초등학교영산분교장	전라남도 신안군 흑산면 영산길 19-18	125.4682467	34.6516395
20220401	전남	신안군	흑산초등학교장도분교장	전라남도 신안군 흑산면 장도길 49-1	125.3778293	34.678898
20220401	전남	신안군	흑산초등학교흑산북분교장	전라남도 신안군 흑산면 다물도길 101	125.4449145	34.7382015
20190401	전남	신안군	흑산초등학교흑산서분교장	전라남도 신안군 흑산면 흑산일주로 1499-11	125.4107914	34.6464122
20190401	전남	여수시	거문초등학교덕촌분교장	전라남도 여수시 삼산면 덕흥1길 26거문초덕촌분교장	127.3034647	34.0249974
20210401	전남	여수시	거문초등학교동도분교장	전라남도 여수시 삼산면 동도로 139	127.3125954	34.049811
20190401	전남	여수시	거문초등학교서도분교장	전라남도 여수시 삼산면 녹산등대길 8-17	127.2964861	34.0559852
